# Data Description: ,,
"#                 Daily returns of S&P composite index from January 3, 2000 to December 31, 2003",,
# Variables: ,,
#                  Date: yearmmdd,,
#                  Ret: daily return on S&P composite index,,
"#                  Weekdays: 1=Monday, 2=Tuesday, 3=Wednesday, 4=Thursday, 5=Friday",,
,,
Date,Ret,Weekdays
20020604,-0.00379,2
20020605,0.000182,3
20020606,-0.014852,4
20020607,0.001623,5
20020610,-0.00292,1
20020611,-0.008866,2
20020612,-0.004296,3
20020613,-0.006926,4
20020614,0.000321,5
20020617,0.01465,1
20020618,-0.000501,2
20020619,-0.014486,3
20020620,-0.003614,4
20020621,-0.002289,5
20020624,-0.004949,1
20020625,-0.007698,2
20020626,-0.008459,3
20020627,0.011502,4
20020628,0.012012,5
20020701,-0.0185,1
20020702,-0.022556,2
20020703,-0.004777,3
20020705,0.022074,5
20020708,-0.007737,1
20020709,-0.006822,2
20020710,-0.016345,3
20020711,-0.004089,4
20020712,-0.001582,5
20020715,-0.010143,1
20020716,-0.000399,2
20020717,0.005138,3
20020718,-0.013656,4
20020719,-0.019186,5
20020722,-0.021153,1
20020723,-0.031148,2
20020724,0.017952,3
20020725,-0.003189,4
20020726,0.007041,5
20020729,0.034791,1
20020730,0.005457,2
20020731,-0.003661,3
20020801,-0.008844,4
20020802,-0.017786,5
20020805,-0.021335,1
20020806,0.021555,2
20020807,0.004294,3
20020808,0.010806,4
20020809,0.00243,5
20020812,-0.000013,1
20020813,-0.011782,2
20020814,0.0162,3
20020815,0.004703,4
20020816,0.006847,5
20020819,0.011817,1
20020820,-0.004424,2
20020821,0.016605,3
20020822,0.011892,4
20020823,-0.009218,5
20020826,0.010806,1
20020827,-0.010728,2
20020828,-0.013281,3
20020829,0.003487,4
20020830,0.002641,5
20020903,-0.023513,2
20020904,0.011722,3
20020905,-0.013073,4
20020906,0.014891,5
20020909,0.00037,1
20020910,0.002789,2
20020911,0.002457,3
20020912,-0.010875,4
20020913,0.002255,5
20020916,-0.006279,1
20020917,-0.012231,2
20020918,-0.006705,3
20020919,-0.017944,4
20020920,0.000703,5
20020923,-0.019514,1
20020924,-0.01134,2
20020925,0.016001,3
20020926,0.007836,4
20020927,-0.014794,5
20020930,-0.003513,1
20021001,0.008403,2
20021002,-0.011973,3
20021003,-0.006095,4
20021004,-0.016275,5
20021007,-0.02145,1
20021008,-0.002035,2
20021009,-0.024312,3
20021010,0.015298,4
20021011,0.02561,5
20021014,0.003315,1
20021015,0.031316,2
20021016,-0.011635,3
20021017,0.025629,4
20021018,0.002481,5
20021021,0.010104,1
20021022,-0.005751,2
20021023,0.012607,3
20021024,0.001466,4
20021025,0.013786,5
20021028,0.000277,1
20021029,-0.004019,2
